AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,HipLeftX,HipLeftY,HipLefttZ,HipRightX,HipRightY,HipRightZ,timestamp
-244.269913,-522.543213,1339.676514,-471.096375,-505.085358,1472.670410,-218.363388,-228.657761,1116.801636,-408.726837,-227.302734,1230.696655,-189.253784,150.465240,1188.230469,-356.676910,152.442215,1181.236572,0
-277.381104,-520.258423,1331.124512,-454.026978,-506.524567,1471.192749,-252.178726,-223.920975,1112.176880,-408.318390,-227.018768,1228.168091,-189.297348,149.903381,1187.212524,-356.527863,152.536575,1180.594116,0
-312.607819,-512.232422,1333.055542,-440.647614,-507.948517,1460.661743,-281.777985,-217.732422,1114.325317,-406.965668,-226.280762,1219.998657,-189.230240,149.309174,1185.717773,-355.912445,152.912781,1179.156006,0
-442.078308,-464.590546,1394.573242,-360.238892,-501.725067,1467.464722,-368.153900,-180.975754,1181.582153,-363.544373,-204.857162,1253.217041,-199.642258,158.544342,1174.421875,-363.691132,165.743195,1175.322632,0
-434.746643,-460.692566,1427.814819,-396.614471,-503.046265,1457.056152,-368.215668,-180.024658,1208.695557,-386.382904,-206.222214,1243.093506,-199.883820,157.842041,1174.438477,-363.868103,165.671768,1175.699097,0
-437.451782,-459.177185,1428.743774,-404.607422,-504.148376,1453.904419,-369.760864,-179.261978,1209.023926,-388.720154,-206.250534,1241.793701,-199.900803,157.791519,1174.345825,-363.879456,165.705719,1175.593140,0
-432.472260,-457.160706,1438.255615,-398.249176,-506.085144,1449.896118,-369.217010,-178.933899,1214.980713,-386.118744,-206.958176,1239.147095,-199.834045,157.763916,1174.228638,-363.845825,165.670334,1175.433105,0
-437.674347,-460.606964,1424.614014,-402.474701,-506.175232,1448.858521,-368.846527,-180.306488,1205.491943,-388.639740,-206.931610,1238.241943,-200.234589,157.860153,1173.988281,-364.282806,165.756653,1175.154175,0
-480.356903,-431.303314,1446.269897,-428.056976,-502.604797,1445.014648,-394.007080,-165.684219,1215.976807,-404.339142,-206.150253,1232.016113,-201.128632,157.631729,1174.236450,-364.985291,165.902603,1175.475586,0
-470.908081,-429.957611,1459.987305,-433.077362,-502.163757,1445.134399,-391.760406,-166.010590,1225.151489,-406.972290,-206.215347,1231.626587,-201.214767,157.474274,1174.492188,-365.096130,165.704193,1175.680420,0
-468.326019,-432.198181,1457.635376,-419.782745,-505.521057,1438.945068,-389.682007,-167.534073,1223.559082,-399.131165,-207.937653,1227.255615,-200.780502,157.047379,1174.388794,-364.625580,165.282425,1175.660156,0
-466.883575,-432.049561,1459.422363,-420.797821,-505.419006,1439.026123,-389.321503,-167.608246,1224.713013,-399.709229,-207.926254,1227.228516,-200.802933,157.044876,1174.448608,-364.654510,165.270935,1175.732910,0
-466.877289,-432.048370,1459.430664,-420.796509,-505.420380,1439.022949,-389.319977,-167.608307,1224.718262,-399.707825,-207.926758,1227.226318,-200.802750,157.044907,1174.448608,-364.654358,165.270966,1175.732910,0
-466.868958,-432.046295,1459.442871,-420.795715,-505.421509,1439.019897,-389.318268,-167.608170,1224.725952,-399.706665,-207.927261,1227.224365,-200.802734,157.044861,1174.448853,-364.654358,165.270889,1175.733154,0
-466.868622,-432.046265,1459.443359,-420.795502,-505.421570,1439.019653,-389.318176,-167.608200,1224.726318,-399.706543,-207.927261,1227.224243,-200.802734,157.044861,1174.448853,-364.654358,165.270889,1175.733154,0
