AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,HipLeftX,HipLeftY,HipLefttZ,HipRightX,HipRightY,HipRightZ,timestamp
121.629707,-608.711731,1264.296021,-154.073135,-606.326599,1206.174805,125.225006,-259.539063,1124.191772,-123.786514,-261.941620,1047.936157,97.808914,129.400848,1069.706055,-72.696213,127.495438,1067.679077,052020
120.846298,-611.180298,1263.798584,-155.404037,-611.968750,1206.765137,125.513626,-259.995209,1124.586914,-123.781906,-263.199158,1054.741333,98.035805,130.560989,1069.949585,-73.160736,128.226212,1067.468384,052020
120.847725,-611.181763,1263.781250,-155.405106,-611.973999,1206.725952,125.513153,-259.994080,1124.577759,-123.775955,-263.195984,1054.724976,98.037239,130.562531,1069.947754,-73.158981,128.228561,1067.467285,052020
120.503204,-611.690735,1262.845093,-155.413681,-609.919189,1206.468628,122.873039,-259.076538,1126.866089,-121.857628,-261.906433,1052.797974,98.957672,131.425049,1069.241821,-72.321426,129.697220,1068.299561,052020
121.336388,-615.455627,1268.208740,-156.962311,-613.681458,1208.382446,125.453606,-262.257172,1129.000244,-122.372681,-263.443512,1055.638428,102.751564,129.975708,1070.187500,-69.321770,129.593307,1069.389893,052020
121.456451,-617.537354,1265.893188,-156.424271,-614.214844,1211.214966,123.913383,-263.144836,1128.298584,-122.220726,-264.188599,1056.615723,102.693855,129.995667,1071.419312,-69.603134,129.467712,1069.678101,052020
121.648613,-615.134521,1265.165161,-155.920700,-610.718506,1205.648315,122.973557,-259.270233,1132.420410,-122.705048,-260.408386,1052.374146,103.216461,133.013489,1071.819580,-68.921745,132.523056,1070.309937,052020
121.834686,-617.307983,1266.010498,-155.770813,-611.624634,1209.112427,123.099419,-260.267029,1134.235596,-122.121048,-261.272003,1054.100830,102.746651,132.497650,1071.718872,-69.742378,132.717834,1070.650757,052020
121.483177,-615.411072,1264.135742,-156.880035,-610.033875,1207.141846,123.099205,-258.456940,1132.921021,-121.427986,-259.616089,1053.370239,103.267639,134.185638,1071.300415,-69.091354,134.107971,1069.497803,052020
122.052467,-618.350281,1266.440186,-155.771927,-613.255188,1208.159668,123.181625,-260.223389,1134.447998,-122.499138,-261.080261,1054.456055,103.438858,133.713913,1071.814697,-69.542809,134.013809,1070.345215,052020
121.038956,-616.049866,1264.956177,-155.851547,-609.977905,1205.964722,122.542740,-259.014465,1133.052856,-121.168617,-259.271088,1051.883911,103.002724,133.875488,1070.796631,-69.502396,134.797379,1069.757202,052020
121.535492,-616.222473,1265.596436,-156.201248,-611.244812,1206.173462,123.271576,-259.592224,1132.494873,-121.694588,-259.342804,1054.703857,103.440186,133.467361,1071.152588,-69.081512,134.734055,1070.386230,052020
120.784790,-616.084229,1264.280396,-155.731522,-611.551331,1205.065063,122.490791,-259.866302,1131.109009,-122.114136,-259.741669,1054.110107,103.484909,132.998825,1070.725098,-68.876038,133.854736,1070.154175,052020
120.673019,-614.501465,1263.963013,-157.008316,-608.348999,1208.457520,124.959488,-259.650177,1127.339478,-120.419235,-258.767792,1053.163330,103.333847,133.671295,1071.182129,-68.998276,135.036331,1069.183960,052020
120.978020,-614.307312,1265.313477,-155.846756,-612.228149,1205.032715,126.021149,-258.932617,1129.332520,-121.682358,-259.779633,1055.089966,107.136307,134.457108,1070.732788,-65.316208,133.732529,1068.354248,052020
121.289734,-609.504578,1265.983643,-155.922867,-607.219299,1206.696655,126.111954,-257.241791,1126.652710,-122.046646,-257.097534,1055.606201,107.272652,134.646851,1069.987793,-64.425499,134.463577,1068.422241,052020
121.662300,-611.249634,1265.521484,-156.461807,-609.645203,1205.421021,126.133430,-257.107849,1129.212036,-121.871307,-257.694458,1057.107910,107.903427,135.111969,1069.953125,-64.092812,134.551682,1069.179077,052020
124.197823,-610.686890,1267.010864,-156.199677,-609.187988,1205.015991,127.041786,-256.376923,1129.306396,-122.337173,-255.285385,1059.521240,109.047310,136.594696,1070.436157,-63.240810,137.466797,1070.886597,052020
120.493690,-610.746521,1267.882690,-156.145782,-607.026428,1208.842285,126.104263,-257.438843,1129.995972,-120.893997,-256.383179,1058.110840,111.207626,134.918228,1072.079590,-60.703701,135.230682,1072.151123,052020
122.986740,-608.655884,1265.098022,-156.906876,-605.442932,1201.518188,128.244873,-254.602249,1132.745972,-120.730057,-252.619858,1059.644653,111.300064,135.860779,1071.854980,-60.020401,137.601593,1072.342529,052020
122.682060,-608.748169,1265.067261,-156.104095,-607.525269,1203.593262,128.504120,-254.894608,1131.741211,-120.388123,-253.833237,1063.331665,115.126038,136.095245,1072.248657,-56.277828,136.117111,1072.447754,052020
121.896149,-606.675232,1261.848022,-150.893036,-605.677612,1203.069214,128.858322,-253.041687,1130.748657,-116.621300,-252.005280,1065.073120,119.364029,137.287903,1072.913940,-51.601269,136.798752,1072.871582,052020
121.504311,-607.446655,1263.231812,-155.984406,-606.535034,1204.086914,129.315582,-252.968491,1132.606323,-115.476151,-252.153809,1067.809082,120.146942,137.840973,1073.370483,-51.110462,137.475632,1073.700317,052020
123.834175,-602.615112,1264.864990,-150.640457,-604.738464,1201.409424,131.980423,-252.192551,1127.522827,-115.798256,-250.684525,1066.670654,123.625298,137.734070,1072.215332,-46.987949,136.678574,1073.926025,052020
125.449669,-602.171570,1263.648315,-150.500900,-606.290466,1202.565674,135.069885,-252.893448,1124.584717,-110.310898,-252.667847,1069.323730,129.345963,137.080017,1072.313354,-41.074451,134.248581,1072.963989,052020
125.477928,-603.744873,1263.988647,-150.571564,-603.708496,1206.804321,135.042084,-254.306015,1125.376587,-110.386024,-253.030502,1066.045166,132.243790,135.471695,1071.578247,-38.174099,133.279083,1072.828735,052020
125.256287,-601.905640,1260.419312,-148.350891,-601.916443,1202.759766,136.474075,-253.606354,1121.942505,-107.722519,-251.099472,1065.410645,133.839828,135.309067,1070.050781,-36.106503,134.204941,1071.352173,052020
125.670776,-600.832275,1259.408936,-150.852478,-596.806030,1202.951904,138.212570,-252.553696,1124.671021,-106.243912,-250.315689,1059.714966,134.828873,134.392395,1068.846191,-34.488934,133.391388,1071.815430,052020
125.513855,-599.805969,1258.774658,-146.810684,-598.431946,1204.744751,137.057037,-252.024292,1122.849487,-103.567467,-250.770630,1064.123779,135.231018,134.870438,1067.072998,-34.045654,133.416077,1070.482910,052020
127.971115,-596.747131,1255.905273,-146.726685,-596.062134,1200.988647,137.366440,-249.751694,1123.210938,-104.806290,-249.350540,1062.943237,136.721024,134.527237,1063.765747,-31.643629,132.098007,1067.774170,052020
127.126518,-597.518616,1255.304321,-146.442291,-596.498474,1201.506348,137.257629,-249.865433,1122.278320,-104.514687,-249.388199,1062.400513,136.801254,135.098495,1062.116943,-31.876188,132.959656,1067.302246,052020
130.959869,-596.468628,1255.074097,-142.679352,-596.315002,1202.973022,139.109985,-249.766129,1119.115723,-103.280670,-249.136475,1062.961670,137.337402,135.440277,1059.693848,-31.317457,133.480545,1067.057251,052020
128.637314,-596.227112,1254.112061,-141.277084,-595.337891,1201.585083,139.076187,-249.427353,1119.694092,-99.867882,-248.251801,1063.050293,138.887985,135.027802,1058.239990,-29.588480,134.253738,1065.631348,052020
128.926315,-594.225037,1251.566040,-145.483078,-593.047729,1197.535522,139.999405,-249.136292,1117.739868,-101.414589,-247.921555,1059.824951,138.715240,133.027328,1053.890137,-28.926815,132.270752,1061.773315,052020
