AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,HipLeftX,HipLeftY,HipLefttZ,HipRightX,HipRightY,HipRightZ,timestamp
290.208466,-676.852539,1149.849976,96.645073,-705.048462,933.657776,287.158081,-329.506561,1032.085205,77.807709,-347.724060,837.031006,282.079468,42.685188,938.608704,118.161644,16.854708,948.509277,3202400000.000000
292.704742,-676.796143,1146.227539,101.074303,-692.207458,967.719543,290.374237,-330.639984,1031.132690,84.241089,-346.990479,839.529114,285.091492,40.216427,940.912842,121.901443,15.678421,951.070740,3202433280.000000
292.671936,-674.851624,1145.010620,107.903923,-680.749634,994.275208,290.697418,-329.378479,1031.720459,85.797546,-344.179199,848.612427,284.685669,40.365440,942.360901,121.620010,19.350077,953.415283,3202466816.000000
288.926483,-684.057495,1150.810059,116.888557,-678.571472,1054.244873,293.740356,-336.092529,1031.317017,95.178879,-356.405151,869.902527,291.218231,39.159775,945.264587,126.395988,16.820610,957.279968,3202533376.000000
288.896759,-683.425049,1152.247192,123.631790,-674.371643,1077.791382,294.436340,-335.345398,1031.622559,101.408211,-359.379395,880.567322,293.081482,40.451038,945.633423,128.205948,16.947144,957.764526,3202566656.000000
287.362091,-684.732422,1152.504517,130.898209,-670.466003,1103.179321,293.795471,-336.556244,1031.936035,104.995041,-363.213257,894.368958,293.375397,39.273415,945.673523,128.534851,15.807826,958.853394,3202599936.000000
287.407318,-683.482422,1151.566650,135.978226,-672.861633,1130.635986,294.227539,-337.746460,1022.889832,106.999779,-366.409302,920.245422,293.696350,40.414024,945.120544,128.804031,16.617626,959.590759,3202666752.000000
283.473724,-682.101563,1153.568970,140.688248,-670.183228,1155.559570,292.649475,-335.834473,1025.171997,108.351837,-367.359863,939.666992,294.164307,42.728115,947.026611,129.274246,17.579540,961.600891,3202700032.000000
286.625702,-682.256104,1152.697510,144.400787,-670.573486,1162.725708,292.632751,-335.323914,1024.588257,109.085403,-366.817535,947.810181,293.340179,43.792347,946.740112,128.383072,18.996220,963.400024,3202733312.000000
285.645996,-691.233765,1155.346191,148.223633,-674.421570,1176.387573,290.767700,-340.476959,1026.977417,107.907265,-367.278656,960.693054,289.861877,43.324837,953.024902,122.696579,22.766445,970.233826,3202800128.000000
285.977692,-689.990417,1153.609497,147.095383,-674.976624,1173.979004,289.370117,-339.545624,1027.553467,107.265480,-365.534088,963.489563,287.991974,43.300751,954.749390,121.272881,23.407412,972.161682,3202833408.000000
285.982422,-690.679626,1153.349609,146.758713,-674.893005,1176.741089,289.419617,-339.579407,1028.109985,106.070740,-365.510834,965.709351,288.034546,43.642998,955.367554,121.158806,23.779892,972.817505,3202866688.000000
284.655914,-691.333984,1154.254028,145.881775,-677.286865,1181.090210,288.407227,-339.364685,1030.296631,107.960541,-365.337494,972.627258,286.154694,44.756226,960.150696,119.154190,24.528046,977.716553,3202933504.000000
282.480377,-692.911499,1154.076172,145.071579,-678.840576,1185.242920,286.103180,-340.436401,1031.779907,109.765106,-365.157135,979.066711,283.560547,44.119686,964.505981,116.356277,24.767796,980.757629,3202966784.000000
281.570129,-689.428955,1151.722534,144.784515,-681.337402,1183.436768,284.010040,-337.300781,1031.985596,111.940483,-363.025360,986.302856,282.048584,46.462257,967.301208,115.482437,25.705536,982.852234,3203000064.000000
281.200409,-693.419922,1154.428955,146.183960,-683.767090,1191.657471,281.060577,-339.159882,1037.093018,109.928726,-364.324402,994.539795,278.886871,46.304962,974.697815,111.845558,25.726959,991.487427,3203066624.000000
278.033112,-696.287170,1157.626465,147.317886,-683.821472,1199.212524,278.726135,-342.228546,1039.612427,110.710945,-365.692932,1000.000854,273.720642,43.708130,980.216309,106.505768,24.363935,996.850708,3203100160.000000
277.685608,-693.763550,1153.295776,147.779037,-682.017334,1204.175049,276.158478,-337.997986,1040.305542,112.189133,-359.416290,1011.958374,268.623169,49.443363,991.412659,101.316139,30.578587,1007.997986,3203166720.000000
276.926239,-690.817017,1153.166382,148.895737,-680.372437,1206.115723,275.542572,-338.157257,1038.232666,111.372070,-357.806305,1018.943665,266.196533,47.859676,999.026489,99.859154,29.702969,1015.266663,3203200000.000000
277.020416,-690.146179,1149.372314,150.798813,-681.143494,1210.254761,273.183472,-339.093964,1033.506226,109.505707,-356.958038,1029.238892,260.255890,46.636349,1007.244141,94.532326,29.148449,1024.733032,3203233280.000000
279.182220,-682.467834,1141.868652,151.978806,-678.627502,1213.094482,277.162964,-332.530396,1021.466003,105.131287,-351.950134,1037.194214,258.306732,54.245136,1021.649231,92.435432,34.659645,1037.029907,3203266816.000000
286.239471,-670.960083,1133.138916,150.365829,-679.648376,1218.889038,280.175507,-323.877228,996.231445,105.653076,-346.238068,1048.506226,253.813797,62.250568,1047.888794,86.163383,43.160603,1059.410767,3203333376.000000
