AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,HipLeftX,HipLeftY,HipLefttZ,HipRightX,HipRightY,HipRightZ,timestamp
174.894302,-603.650574,1623.128662,-63.082531,-611.672363,1603.304199,156.525833,-246.756607,1508.168945,-68.141365,-249.514587,1490.506958,122.007324,141.180008,1457.075073,-48.124981,141.092041,1459.030396,0
174.789032,-603.454224,1623.715210,-68.252136,-609.971008,1605.252930,156.143295,-247.099411,1509.137817,-68.968506,-249.767700,1488.256470,121.867516,140.102493,1457.264648,-47.987282,140.318405,1459.055908,0
174.455734,-602.849731,1623.225464,-68.385475,-609.676941,1606.358154,156.384888,-245.927216,1508.451782,-68.890167,-249.225967,1488.257202,122.904823,141.830139,1455.689941,-47.212738,141.262405,1456.992554,0
174.511673,-602.217957,1622.458130,-67.683311,-607.870911,1605.377686,156.158966,-245.632935,1508.715210,-69.385178,-248.810959,1485.085571,121.865120,141.421509,1456.150513,-47.973763,141.292938,1457.157227,0
174.644730,-602.717468,1625.420288,-67.762871,-610.271240,1606.220947,156.397034,-246.153427,1509.162231,-69.695160,-249.744232,1487.961914,122.685074,141.651947,1455.931641,-47.488510,140.885498,1457.201538,0
174.857635,-602.507690,1624.681030,-68.153755,-609.663025,1604.809937,156.217987,-246.167542,1509.548584,-69.457191,-249.315552,1487.752075,121.568085,140.956009,1456.128784,-48.365498,140.794235,1456.811646,0
174.417664,-602.675781,1625.897217,-67.741287,-609.869629,1606.199951,156.741592,-247.055847,1508.071411,-69.754105,-250.264999,1486.549194,122.564850,140.623978,1457.648438,-47.417229,140.061905,1457.898682,0
174.356873,-602.116821,1626.428345,-67.931305,-609.992065,1605.654419,156.665558,-246.785156,1507.750610,-69.570229,-249.684067,1488.145508,121.324631,140.876083,1458.024414,-48.651459,140.504181,1456.725586,0
174.450760,-602.692627,1625.587036,-67.932281,-609.961060,1607.052490,156.498566,-246.963806,1507.896973,-69.736671,-250.386810,1487.071533,121.863869,140.652832,1456.706055,-48.150078,139.885727,1456.142456,0
174.800552,-602.715637,1624.419678,-62.335575,-609.073853,1607.499878,156.299713,-247.062485,1508.037964,-69.220192,-250.104248,1487.339600,120.986328,140.084045,1457.393188,-48.824329,139.813217,1457.137451,0
174.659927,-604.276550,1623.800171,-68.432777,-612.170532,1603.549194,156.095154,-247.540695,1509.095459,-69.313499,-250.634491,1489.398560,121.295181,139.905884,1456.262817,-48.748604,139.548645,1455.933960,0
