AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,HipLeftX,HipLeftY,HipLefttZ,HipRightX,HipRightY,HipRightZ,timestamp
622.333435,-625.426025,1540.221069,382.376404,-636.772766,1519.934814,583.562073,-263.062836,1425.061768,345.533813,-284.797546,1365.282227,544.196655,123.281441,1329.568115,373.140869,113.600166,1355.102173,532300032.000000
622.333435,-625.426025,1540.221069,382.376404,-636.772766,1519.934814,583.562073,-263.062836,1425.061768,345.533813,-284.797546,1365.282227,544.196655,123.281441,1329.568115,373.140869,113.600166,1355.102173,532333376.000000
624.381836,-628.055542,1540.798096,382.038300,-639.830933,1520.813599,583.656860,-269.077698,1423.824829,349.953186,-292.009796,1361.919312,542.900940,113.976723,1326.375610,372.799164,104.096207,1350.672974,532400032.000000
624.381287,-628.055237,1540.801758,382.032837,-639.832825,1520.809570,583.656616,-269.076721,1423.825195,349.949646,-292.008820,1361.917603,542.901123,113.978943,1326.374634,372.798645,104.098618,1350.672119,532433376.000000
624.381226,-628.056885,1540.801880,382.031799,-639.835022,1520.807129,583.656921,-269.077484,1423.824707,349.949554,-292.009369,1361.915894,542.901672,113.979362,1326.373901,372.798706,104.099205,1350.671265,532500032.000000
624.260742,-628.161560,1540.753784,381.853546,-639.961731,1520.600830,583.603638,-269.106659,1423.778076,349.854004,-292.011749,1361.809937,542.918274,114.029831,1326.339355,372.784241,104.160622,1350.628174,532533376.000000
624.098083,-628.579590,1540.444946,381.517120,-640.459778,1519.470337,583.658203,-269.240601,1423.386475,349.911652,-292.060211,1360.924683,543.158081,114.201698,1325.916992,372.885498,104.404175,1350.134644,532600032.000000
623.930786,-628.527344,1540.580200,381.359833,-640.432495,1519.280151,583.590820,-269.200378,1423.324829,349.864471,-292.001160,1360.687500,543.190735,114.274460,1325.776855,372.893219,104.502121,1349.953613,532633376.000000
623.742798,-629.392090,1540.628174,381.010834,-641.541809,1517.997925,583.618042,-269.729523,1422.994507,349.951843,-292.468628,1359.723877,543.435059,114.178368,1325.304443,372.933258,104.479080,1349.400269,532666720.000000
626.917969,-632.660156,1545.346558,381.942017,-644.318726,1519.762085,584.657715,-271.849884,1421.342773,348.457947,-295.459961,1353.510132,541.246765,114.231468,1319.444580,369.012878,105.076958,1342.235229,532733376.000000
626.910950,-632.665405,1545.338623,381.937286,-644.320801,1519.756592,584.654724,-271.852173,1421.340088,348.456329,-295.460144,1353.506592,541.248230,114.231079,1319.445190,369.014008,105.077408,1342.235474,532766688.000000
626.910706,-632.665894,1545.338135,381.937164,-644.320862,1519.756348,584.654724,-271.852448,1421.339844,348.456329,-295.460205,1353.506226,541.248413,114.231003,1319.444946,369.014130,105.077408,1342.235107,532800032.000000
624.685303,-632.001282,1545.020630,382.135376,-643.396057,1519.150391,583.076294,-272.062256,1419.610718,353.833740,-296.548645,1348.797485,540.472534,112.763908,1314.459106,368.617767,103.820381,1338.656250,532866720.000000
626.312256,-632.974060,1541.842651,382.305206,-643.334717,1519.288818,583.813416,-272.506622,1418.235474,353.815247,-296.746002,1348.421387,540.651001,112.551743,1314.132080,368.792847,103.626442,1338.339355,532900032.000000
626.314331,-632.970581,1541.843384,382.303619,-643.329895,1519.291382,583.814880,-272.504089,1418.233154,353.813446,-296.743652,1348.418457,540.651978,112.554062,1314.128662,368.793610,103.628845,1338.335449,532933376.000000
627.666443,-635.255676,1539.685059,382.352020,-639.130066,1522.719116,585.832825,-275.015656,1414.422485,351.206604,-297.785187,1341.498779,542.143738,110.450104,1311.039551,370.149841,102.763527,1335.521240,533000032.000000
627.138672,-633.135925,1538.157959,384.703552,-639.140076,1517.156494,585.044495,-272.442719,1413.861938,351.719666,-295.293732,1340.751831,541.725342,113.151871,1310.235474,369.685638,105.447411,1334.840088,533033376.000000
627.059326,-631.369324,1537.376587,383.680054,-634.330627,1518.623047,584.744324,-271.957092,1413.607056,352.444824,-293.803040,1338.495483,540.665710,112.103218,1310.067627,369.028320,105.597687,1333.481812,533066720.000000
626.646790,-628.399719,1537.199951,382.453857,-633.527100,1513.842285,584.841492,-269.156738,1413.164917,354.019531,-290.036377,1339.242065,540.823120,114.678955,1309.289917,369.217865,109.263557,1332.783203,533133376.000000
625.596558,-622.873230,1537.798340,383.775452,-632.982117,1513.677246,583.646545,-264.657257,1411.432983,358.646454,-288.213715,1341.518066,539.845093,118.534698,1305.847778,368.613770,110.966629,1330.811035,533166720.000000
625.698853,-621.676392,1537.327148,383.509155,-632.453430,1512.893311,583.841614,-263.549194,1410.636719,359.433716,-287.401031,1341.120605,540.060120,119.703163,1305.205933,368.797943,111.794601,1329.896240,533200032.000000
622.833679,-618.383301,1534.626953,384.418762,-631.398865,1513.692017,585.029114,-258.799896,1408.827515,357.826813,-285.267944,1342.985352,542.942505,125.799507,1305.042358,371.326965,114.362144,1327.896606,533233376.000000
622.272766,-616.494751,1531.752319,380.257050,-629.119629,1508.512695,584.198242,-259.005463,1409.085205,356.496826,-286.114044,1337.837769,542.224365,122.268745,1304.903687,371.986725,110.501442,1327.741821,533300032.000000
622.676208,-616.525757,1532.840210,383.647644,-629.953247,1511.803711,584.409302,-259.735291,1408.818848,358.020752,-287.217499,1341.306885,542.245178,121.137947,1304.039551,372.143585,109.115089,1327.080933,533333376.000000
622.890747,-614.675415,1534.666992,381.265411,-630.857727,1508.902710,584.736816,-258.800446,1408.861938,357.345367,-287.399231,1340.267578,542.381592,121.322495,1302.572021,372.578552,108.610260,1326.469238,533366720.000000
622.989929,-614.427673,1535.081909,381.159454,-629.815674,1510.244873,584.760559,-258.704315,1408.924194,357.263306,-287.234985,1339.870239,542.441650,121.317818,1302.328247,372.640533,108.757072,1326.261475,533400032.000000
621.323730,-615.476379,1534.943237,382.499023,-629.119812,1508.798096,587.206543,-259.369232,1406.838501,358.445068,-286.723938,1336.671997,549.952881,121.592796,1299.293213,379.678253,109.614769,1322.158447,533466720.000000
620.809387,-614.458801,1533.781250,381.973145,-628.933716,1508.240967,588.167114,-258.697876,1405.737549,358.959076,-286.810638,1336.500244,552.205994,121.786781,1297.897949,382.068939,108.831078,1319.604980,533500032.000000
618.100159,-606.647278,1528.736816,378.703033,-616.835266,1505.511230,585.318176,-255.247742,1403.444458,353.381958,-282.142151,1330.696533,547.634583,120.084564,1297.299561,379.909637,108.272568,1320.529053,533533376.000000
617.493774,-605.986633,1527.481323,379.021576,-617.972839,1504.864136,584.864319,-254.979767,1400.937378,353.213470,-283.380798,1329.841431,547.453430,120.104462,1293.673096,380.133118,107.034805,1319.167236,533600032.000000
618.178711,-606.928467,1528.039673,379.216522,-618.143799,1505.722534,584.665588,-257.031891,1400.910767,353.074677,-285.067230,1329.529297,546.133423,116.793457,1292.569946,379.160919,104.594139,1318.470581,533633376.000000
618.101501,-608.975281,1528.580078,379.622620,-618.355164,1506.781494,584.644653,-258.739594,1400.748291,353.092163,-284.819794,1330.317993,546.248474,115.769012,1292.633057,379.011597,105.431267,1319.264648,533666688.000000
617.748169,-604.431946,1525.817749,377.119629,-617.768738,1502.453979,584.146057,-255.814072,1398.295654,353.406677,-282.766418,1331.940674,545.668274,116.866920,1289.970459,379.330688,105.680565,1317.255005,533733376.000000
617.517578,-605.182617,1526.895752,379.177521,-618.363037,1506.194824,584.347107,-256.668396,1398.970581,355.973755,-284.600372,1333.192871,546.610474,116.345589,1291.524536,380.209564,103.934181,1317.885132,533766720.000000
616.721130,-604.705811,1526.066528,379.775330,-619.192993,1505.513794,583.816956,-256.886597,1398.679688,354.006622,-284.707581,1336.196045,546.494873,115.425598,1291.913208,380.642059,102.694183,1319.073242,533800032.000000
616.870239,-612.847595,1525.249390,380.917145,-626.163635,1507.858643,584.188660,-259.997742,1400.626709,355.375977,-286.313782,1340.718384,548.949219,118.275307,1299.846436,381.104614,105.161324,1325.166016,533866720.000000
616.841980,-612.036926,1523.495117,379.580688,-621.638733,1506.879150,582.915894,-258.156525,1400.703613,354.626648,-282.380341,1337.371338,545.064941,121.828156,1305.519287,376.823578,110.054756,1330.312134,533900032.000000
616.685547,-611.759583,1524.077393,378.085205,-620.208374,1504.211670,582.299500,-257.928101,1398.842407,354.273315,-278.593567,1337.478760,542.787659,124.907852,1312.722412,373.951233,114.876656,1336.721069,533933376.000000
616.738098,-612.029541,1524.373657,380.039642,-623.644104,1507.186157,583.516663,-257.288269,1398.056274,355.879974,-278.619141,1345.021118,544.474243,129.332611,1324.171875,374.842651,116.048035,1344.249878,534000032.000000
618.298767,-612.398254,1525.612915,380.451843,-624.573730,1506.479492,583.306641,-256.800171,1401.374268,354.354218,-276.664429,1350.228149,542.643555,130.465530,1330.247192,372.755829,118.318481,1349.943115,534033376.000000
617.612915,-612.924316,1522.912964,380.555756,-625.051697,1506.541504,582.748108,-254.624847,1406.830688,354.647308,-275.094727,1355.035767,541.848816,132.203308,1333.795288,372.097900,119.874802,1354.328979,534066688.000000
617.300598,-611.716125,1525.730591,381.818512,-623.312256,1512.112915,582.842957,-252.302414,1413.076416,356.914185,-272.229248,1363.107056,543.009155,134.664795,1340.283691,373.392212,122.763855,1362.074951,534133376.000000
617.101135,-613.180786,1525.938477,377.936584,-622.940918,1512.924438,580.885010,-251.478195,1421.390381,355.422424,-271.121735,1365.232178,541.350037,134.566727,1343.603027,371.735046,123.898155,1366.103149,534166720.000000
618.451721,-614.317627,1527.260010,379.071198,-626.422302,1515.449463,580.112549,-252.902664,1423.517334,353.636719,-272.797638,1373.402710,539.171204,132.881851,1346.702148,369.548523,121.901314,1367.967041,534200032.000000
615.803406,-614.433167,1533.115967,380.373657,-626.394836,1516.666992,574.917664,-253.069931,1430.857056,351.541351,-270.316528,1382.103760,531.211304,132.259766,1354.289307,361.379517,124.350014,1374.543091,534266720.000000
616.343445,-614.380615,1532.071289,381.410736,-625.343140,1517.567139,574.727295,-252.790985,1431.413696,352.697693,-268.891968,1384.355835,530.609985,132.715302,1356.715820,360.851929,125.684235,1377.395020,534300032.000000
616.369202,-613.602539,1533.023315,381.565796,-624.594116,1518.787964,574.622925,-252.550003,1432.029053,352.708862,-268.785034,1385.078003,530.367310,132.426300,1356.948120,360.800385,125.355270,1377.644775,534333376.000000
615.003418,-611.921265,1530.296143,381.605560,-622.698486,1519.961060,573.073303,-251.152573,1432.721436,352.586365,-266.821167,1389.832275,529.258911,133.313965,1361.186157,360.224731,126.112579,1381.885864,534400032.000000
612.336304,-611.987366,1528.172729,382.438782,-622.167358,1520.857056,568.280334,-251.186310,1432.538330,350.362213,-266.106964,1392.622925,522.393433,133.455475,1364.627441,353.731110,126.699585,1387.553833,534433376.000000
612.288330,-610.229248,1525.545044,381.546936,-617.784729,1516.828491,567.860840,-250.812347,1430.112549,349.435516,-264.091553,1386.068726,520.989014,132.736542,1364.826660,353.243713,127.324966,1390.213867,534466720.000000
604.192261,-606.079773,1519.535400,379.052490,-612.798950,1508.535645,565.546814,-254.980118,1401.706543,343.037994,-267.806702,1362.714600,523.685181,131.647430,1377.851807,356.598633,119.529312,1398.249268,534533376.000000
602.404480,-608.540405,1515.141968,377.902893,-608.477905,1504.903564,565.494507,-263.988800,1381.821777,340.848938,-270.974884,1345.257935,518.959473,121.690552,1385.971191,352.358795,111.900383,1407.552612,534566720.000000
600.377197,-608.239441,1512.020386,376.773804,-617.120544,1498.946777,569.744629,-272.600525,1353.097656,336.912140,-283.079590,1329.794312,518.807800,111.957764,1392.364746,351.432159,97.800346,1409.882935,534600032.000000
595.647644,-608.600281,1497.181641,374.770782,-626.619202,1492.341064,586.937805,-298.834564,1289.068359,327.835236,-313.525696,1287.259644,520.499512,69.613258,1400.397217,352.473419,54.831047,1413.513306,534666688.000000
600.124634,-610.317261,1491.864624,367.631317,-627.447571,1485.253662,589.799683,-311.590271,1268.680176,323.632965,-320.408508,1271.034180,521.918640,50.359215,1398.074463,354.073395,40.362144,1415.769531,534700032.000000
596.330505,-608.454285,1485.432373,371.599792,-625.350586,1477.588501,590.479065,-317.461487,1256.940918,321.096222,-326.358459,1258.800415,519.973877,36.091785,1398.145630,353.440735,25.917057,1415.142700,534733376.000000
590.663086,-606.811462,1481.455078,370.824860,-633.044739,1487.583862,591.527710,-340.915131,1222.419189,322.898529,-362.548157,1232.142334,518.893494,-2.627259,1398.943359,351.608246,-17.994528,1408.236450,534800032.000000
593.033264,-605.853210,1476.893188,373.145691,-628.536377,1481.262085,596.988831,-350.557709,1212.048218,320.936523,-366.956909,1222.327881,519.893677,-20.160381,1393.894653,354.180420,-31.919691,1408.070557,534833376.000000
593.060730,-608.790344,1469.475708,369.463379,-631.073792,1482.263794,596.989868,-356.112946,1200.911255,323.387512,-379.573792,1211.175049,522.364990,-31.880312,1396.345215,356.232056,-48.005764,1404.962769,534866688.000000
592.666931,-613.619690,1475.030518,370.397430,-630.096069,1481.957886,596.243896,-369.885529,1199.256592,321.656921,-387.963318,1203.872192,522.384216,-45.473400,1393.227539,356.537994,-60.605038,1402.929932,534900032.000000
587.936157,-606.168152,1461.337524,369.241699,-634.305725,1476.333374,596.134888,-374.198456,1174.947266,325.287445,-399.636871,1190.380127,525.882629,-64.622902,1394.076050,359.738373,-79.989952,1402.768188,534966720.000000
589.456299,-603.703857,1458.802124,363.736542,-635.518311,1473.117310,594.546753,-378.114624,1169.681763,323.337646,-403.752991,1186.753052,522.496887,-76.451042,1395.682495,356.903076,-88.958344,1402.922485,535000032.000000
587.823425,-604.074829,1457.406738,361.658539,-641.273682,1469.558716,598.116516,-382.709900,1164.870239,323.863586,-409.380432,1182.623779,523.439514,-82.338425,1392.168945,357.796570,-95.228516,1400.119141,535066720.000000
588.402100,-604.053101,1459.017212,362.514557,-648.726440,1468.440430,596.511047,-388.077026,1161.550537,325.411682,-413.170288,1183.494995,522.049622,-86.733086,1388.865356,356.013428,-96.574532,1399.219238,535100032.000000
582.569946,-603.613525,1452.994019,360.521118,-642.972107,1468.393677,595.419067,-385.915466,1156.177246,328.531830,-412.229828,1178.115356,520.589111,-85.689545,1385.944824,354.356567,-96.441658,1396.792236,535133376.000000
587.930786,-606.525635,1465.024292,370.527954,-644.038330,1476.249512,587.296448,-385.833466,1166.507935,328.313293,-412.341919,1184.244507,517.627197,-65.441818,1374.806396,350.197052,-79.870461,1383.121460,535200032.000000
584.332642,-607.708008,1468.237671,369.349487,-633.657349,1482.397095,589.414368,-376.783630,1176.797363,329.418732,-400.195404,1190.652100,509.539856,-45.876675,1365.291870,341.580933,-57.344646,1373.379395,535233376.000000
589.252563,-609.351624,1471.601685,363.518494,-650.339661,1475.019531,598.197205,-350.390198,1194.150635,321.793762,-377.402985,1208.687256,516.490784,3.515770,1354.986694,345.365784,-12.556182,1362.912354,535266720.000000
591.765503,-604.603271,1468.008545,364.148346,-633.092407,1471.062500,601.562012,-311.502655,1226.863037,313.787567,-338.339111,1230.670654,506.781708,59.013248,1334.410889,335.740814,41.851494,1342.319580,535300032.000000
624.356140,-529.183411,1436.914917,350.701263,-552.442078,1443.185547,568.809265,-188.940369,1291.784424,301.651672,-209.776093,1291.373291,484.636963,192.991745,1276.588379,317.851135,180.643692,1304.351807,535366688.000000
641.935242,-511.330139,1426.940430,336.025726,-541.355469,1442.572632,569.392395,-152.520355,1318.096924,311.058014,-173.667999,1328.024658,490.580475,234.436066,1256.898682,320.601807,223.354584,1287.647339,535400032.000000
